,Day,Date,Competition,A,B,Score A,Score B,Rank_A,Points_A,Previous_Points_A,+/-_A,Rank_B,Points_B,Previous_Points_B,+/-_B,+_A,-_A,Mean 3 +_A,Mean 3 -_A,+_B,-_B,Mean 3 +_B,Mean 3 -_B,Score Difference,Points Difference,Result
39,Sun,1991-11-17,WWC,Nigeria,Germany,0,4,38.0,1599.0,1586.0,1.0,2.0,2072.0,2057.0,0.0,0,4,0.0,0.0,4,0,0.0,0.0,-4,-473.0,2
40,Sun,1991-11-17,WWC,Denmark,New Zealand,3,0,17.0,1840.0,1842.0,0.0,19.0,1815.0,1819.0,0.0,3,0,0.0,0.0,0,3,0.0,0.0,3,25.0,0
41,Sun,1991-11-17,WWC,Italy,Chinese Taipei,5,0,15.0,1868.0,1859.0,1.0,40.0,1574.0,1577.0,0.0,5,0,0.0,0.0,0,5,0.0,0.0,5,294.0,0
42,Sun,1991-11-17,WWC,United States,Sweden,3,2,1.0,2101.0,2123.0,0.0,9.0,1962.0,1976.0,0.0,3,2,8.333333333333334,0.0,2,3,0.0,0.0,1,139.0,0
43,Sun,1991-11-17,WWC,Chinese Taipei,Italy,0,5,40.0,1574.0,1577.0,0.0,15.0,1868.0,1859.0,1.0,0,5,0.0,0.0,5,0,0.0,0.0,-5,-294.0,2
44,Tue,1991-11-19,WWC,China PR,Denmark,2,2,16.0,1866.0,1871.0,-1.0,17.0,1840.0,1842.0,0.0,2,2,0.0,0.0,2,2,0.0,0.0,0,26.0,1
45,Tue,1991-11-19,WWC,Italy,Nigeria,1,0,15.0,1868.0,1859.0,1.0,38.0,1599.0,1586.0,1.0,1,0,0.0,0.0,0,1,0.0,0.0,1,269.0,0
46,Tue,1991-11-19,WWC,Sweden,Japan,8,0,9.0,1962.0,1976.0,0.0,7.0,1991.0,1984.0,1.0,8,0,0.0,0.0,0,8,0.0,0.0,8,-29.0,0
47,Tue,1991-11-19,WWC,Germany,Chinese Taipei,3,0,2.0,2072.0,2057.0,0.0,40.0,1574.0,1577.0,0.0,3,0,0.0,0.0,0,3,0.0,0.0,3,498.0,0
48,Tue,1991-11-19,WWC,Chinese Taipei,Germany,0,3,40.0,1574.0,1577.0,0.0,2.0,2072.0,2057.0,0.0,0,3,0.0,0.0,3,0,0.0,0.0,-3,-498.0,2
49,Tue,1991-11-19,WWC,Brazil,United States,0,5,10.0,1944.0,1964.0,0.0,1.0,2101.0,2123.0,0.0,0,5,0.0,0.0,5,0,6.0,0.6666666666666666,-5,-157.0,2
50,Tue,1991-11-19,WWC,New Zealand,Norway,0,4,19.0,1815.0,1819.0,0.0,12.0,1915.0,1902.0,1.0,0,4,0.0,0.0,4,0,0.0,0.0,-4,-100.0,2
